Runs,Mins,Ball Faced,4s,6s,Strike Rate,Possition,Dismissal,Innings, Against Match,Venue,Date,Match 
46,106,60,3,0,76.66,3,caught,1,South Africa,Melbourne,2015-02-22,ODI
33,49,41,5,0,80.48,3,not out,2,U.A.E.,Perth,2015-02-28,ODI
33,51,36,5,0,91.66,3,caught,2,West Indies,Perth,2015-03-06,ODI
44,64,42,4,1,104.76,3,not out,2,Ireland,Hamilton,2015-03-10,ODI
38,71,48,4,0,79.16,3,bowled,2,Zimbabwe,Auckland,2015-03-14,ODI
3,6,8,0,0,37.50,3,caught,1,Bangladesh,Melbourne,2015-03-19,ODI
1,11,13,0,0,7.69,3,caught,2,Australia,Sydney,2015-03-26,ODI
14,17,22,2,0,63.63,4,bowled,1,Bangladesh,Fatullah,2015-06-10,Test
1,9,4,0,0,25.00,3,caught,2,Bangladesh,Mirpur,2015-06-18,ODI
23,57,27,3,1,85.18,3,lbw,1,Bangladesh,Mirpur,2015-06-21,ODI
25,55,35,1,0,71.42,3,bowled,1,Bangladesh,Mirpur,2015-06-24,ODI
3,14,10,0,0,30.00,5,caught,4,Sri Lanka,Galle,2015-08-12,Test
103,266,191,11,0,53.92,4,lbw,2,Sri Lanka,Galle,2015-08-12,Test
10,33,19,0,0,52.63,4,lbw,3,Sri Lanka,Colombo (PSS),2015-08-20,Test
78,178,107,8,1,72.89,4,caught,1,Sri Lanka,Colombo (PSS),2015-08-20,Test
21,87,63,2,0,33.33,4,caught,3,Sri Lanka,Colombo (SSC),2015-08-28,Test
18,96,60,3,0,30.00,4,caught,1,Sri Lanka,Colombo (SSC),2015-08-28,Test
43,58,27,1,3,159.25,3,caught,1,South Africa,Dharamsala,2015-10-02,T20
1,3,1,0,0,100.00,3,run out,1,South Africa,Cuttack,2015-10-05,T20
11,29,18,0,0,61.11,4,caught,2,South Africa,Kanpur,2015-10-11,ODI
12,24,18,0,0,66.66,4,run out,1,South Africa,Indore,2015-10-14,ODI
77,155,99,5,0,77.77,3,caught,2,South Africa,Rajkot,2015-10-18,ODI
138,202,140,6,5,98.57,3,caught,1,South Africa,Chennai,2015-10-22,ODI
7,11,6,0,1,116.66,3,caught,2,South Africa,Wankhede,2015-10-25,ODI
29,92,71,4,0,40.84,4,caught,3,South Africa,Mohali,2015-11-05,Test
1,5,4,0,0,25.00,4,caught,1,South Africa,Mohali,2015-11-05,Test
16,49,30,2,0,53.33,4,caught,3,South Africa,Nagpur,2015-11-25,Test
22,73,55,2,0,40.00,4,caught,1,South Africa,Nagpur,2015-11-25,Test
88,259,165,10,0,53.33,5,lbw,3,South Africa,Delhi,2015-12-03,Test
44,74,62,7,0,70.96,4,caught,1,South Africa,Delhi,2015-12-03,Test
91,148,97,9,1,93.81,3,caught,1,Australia,Perth,2016-01-12,ODI
59,84,67,4,0,88.05,3,run out,1,Australia,Brisbane,2016-01-15,ODI
117,174,117,7,2,100.00,3,caught,1,Australia,Melbourne,2016-01-17,ODI
106,131,92,11,1,115.21,3,caught,2,Australia,Canberra,2016-01-20,ODI
8,11,11,1,0,72.72,3,caught,2,Australia,Sydney,2016-01-23,ODI
90,71,55,9,2,163.63,3,not out,1,Australia,Adelaide,2016-01-26,T20
59,44,33,7,1,178.78,3,not out,1,Australia,Melbourne,2016-01-29,T20
50,49,36,2,1,138.88,3,bowled,2,Australia,Sydney,2016-01-31,T20
7,13,12,1,0,58.33,3,caught,1,Bangladesh,Mirpur,2016-02-24,T20
49,71,51,7,0,96.07,3,lbw,2,Pakistan,Mirpur,2016-02-27,T20
56,85,47,7,0,119.14,3,not out,2,Sri Lanka,Mirpur,2016-03-01,T20
41,62,28,5,0,146.42,3,not out,2,Bangladesh,Mirpur,2016-03-06,T20
23,40,27,2,0,85.18,3,caught,2,New Zealand,Nagpur,2016-03-15,T20
55,66,37,7,1,148.64,3,not out,2,Pakistan,Eden Gardens,2016-03-19,T20
24,37,24,0,1,100.00,3,bowled,1,Bangladesh,Bengaluru,2016-03-23,T20
82,78,51,9,2,160.78,3,not out,2,Australia,Mohali,2016-03-27,T20
89,63,47,11,1,189.36,3,not out,1,West Indies,Wankhede,2016-03-31,T20
200,375,283,24,0,70.67,4,bowled,1,West Indies,North Sound,2016-07-21,Test
44,144,90,4,1,48.88,4,caught,2,West Indies,Kingston,2016-07-30,Test
4,21,17,0,0,23.52,3,lbw,3,West Indies,Gros Islet,2016-08-09,Test
3,17,8,0,0,37.50,3,caught,1,West Indies,Gros Islet,2016-08-09,Test
16,8,9,3,0,177.77,3,caught,2,West Indies,Lauderhill,2016-08-27,T20
18,45,40,3,0,45.00,4,caught,3,New Zealand,Kanpur,2016-09-22,Test
9,12,10,2,0,90.00,4,caught,1,New Zealand,Kanpur,2016-09-22,Test
